Was sind die 3 Kriterien für eine Untergruppe?;1. Neutrales Element enthalten. 2. Abgeschlossenheit (\( a \circ b \in U \)). 3. Inverses enthalten (\( a^{-1} \in U \)).
Was ist eine Linksnebenklasse \( a \circ U \)?;Die Menge \( \{a \circ u \mid u \in U\} \).
Was besagt der Satz von Lagrange?;Die Ordnung einer Untergruppe teilt die Ordnung der gesamten Gruppe (\( |G| / |U| \)).
Was ist der Index einer Untergruppe?;Die Anzahl der Nebenklassen von U in G.
Was ist eine zyklische Gruppe?;Eine Gruppe, die von einem einzigen Element \( a \) erzeugt wird (\( \langle a \rangle = G \)).
Was ist ein Gruppenhomomorphismus?;Eine Abbildung, die die Struktur erhält: \( \phi(a \circ b) = \phi(a) * \phi(b) \).
Was ist der Kern eines Homomorphismus?;Die Menge aller Elemente aus \( G \), die auf das neutrale Element von \( H \) abgebildet werden.
Was ist ein Ring?;Eine Menge mit zwei Operationen \( (+, \cdot) \): \( (R,+) \) ist abelsche Gruppe, \( (R,\cdot) \) ist Halbgruppe, Distributivgesetze gelten.
Was ist ein Integritätsring?;Ein kommutativer Ring mit Eins, der keine Nullteiler hat.
Was ist ein Körper?;Ein kommutativer Ring mit Eins (\( 1 \neq 0 \)), in dem jedes Element außer 0 ein multiplikatives Inverses hat.
Was ist ein Verband?;Eine Struktur mit zwei Operationen \( (\land, \lor) \), die beide kommutative Halbgruppen sind und die Verschmelzungsgesetze erfüllen.
Was sind die Verschmelzungsgesetze im Verband?;\( a = a \land (a \lor b) \) und \( a = a \lor (a \land b) \).
Was ist eine Boole'sche Algebra?;Ein distributiver Verband, in dem es neutrale Elemente (0, 1) gibt und jedes Element ein Komplement hat.
Welche Darstellungsformen von Relationen gibt es?;Pfeildiagramm, Tabelle (Matrixdarstellung) und Graph der Relation.
Was ist der Graph einer Relation?;Die graphische Darstellung einer Relation, bei der Elemente als Punkte und Relationselemente als Kanten dargestellt werden.
Was ist der Zusammenhang zwischen Äquivalenzrelationen und Partitionen?;Die Äquivalenzklassen einer Äquivalenzrelation bilden eine Partition der Grundmenge, und umgekehrt definiert jede Partition eine Äquivalenzrelation.
Was ist der Unterschied zwischen einem minimalen und dem kleinsten Element?;Ein minimales Element hat kein kleineres Element unter sich, ein kleinstes Element ist kleiner als alle anderen und eindeutig.
Was ist der Unterschied zwischen einem maximalen und dem größten Element?;Ein maximales Element hat kein größeres Element über sich, ein größtes Element ist größer als alle anderen und eindeutig.
Was ist eine Rechtsnebenklasse \( U \circ a \)?;Die Menge \( \{u \circ a \mid u \in U\} \).
Wie sind Potenzen \( a^n \) in einer Gruppe definiert?;Für \( n>0 \) als \( a^n=a\circ\ldots\circ a \), für \( n=0 \) als neutrales Element, für \( n<0 \) als \( (a^{-1})^{-n} \).
Was ist das Bild eines Gruppenhomomorphismus?;Die Menge aller Elemente aus \( H \), die von mindestens einem Element aus \( G \) getroffen werden.
Was ist ein kommutativer Ring?;Ein Ring, bei dem die Multiplikation kommutativ ist (\( a \cdot b = b \cdot a \)).
Wann gilt bei einem Gruppenhomomorphismus \( \varphi \), dass er injektiv ist?;Genau dann, wenn der Kern nur aus dem neutralen Element besteht (\( \ker(\varphi)=\{e\} \)).
